,team_id_salary,league_id_salary,salary,g,ab,r,h,double,triple,hr,rbi,sb,cs,bb,so,ibb,hbp,sh,sf,g_idp,w,l,gs,sv,ipouts,er,baopp,era,wp,bk,bfp,gf,inn_outs,po,a,e,dp,Days Played
2870,KCA,AL,510000,114.0,0.0,31.0,38.0,0.0,0.0,8.0,0.0,0.0,0.0,18.0,28.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,104.0,30.0,0.763,36.72,1.0,0.0,160.0,11.0,105.0,0.0,3.0,0.0,0.0,1601.0
2871,ML4,AL,15000000,633.0,1.0,606.0,1186.0,0.0,0.0,138.0,0.0,0.0,0.0,437.0,895.0,18.0,31.0,0.0,0.0,0.0,40.0,45.0,396.0,0.0,2387.5,370.0,2.13,39.67,33.0,2.5,3431.25,5.0,3874.0,95.0,179.0,11.0,13.0,2870.0
2872,SFN,NL,1230000,50.0,62.0,3.0,9.0,3.0,0.0,1.0,6.0,0.0,1.0,6.0,19.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,327.0,98.0,7.0,3.0,11.0,741.0
2873,BOS,AL,1519500,933.0,764.0,107.0,194.0,42.0,5.0,21.0,83.0,14.0,5.0,72.0,185.0,1.0,5.0,14.0,3.0,17.0,0.0,1.0,0.0,0.0,6.0,5.0,0.75,45.0,0.0,0.0,12.0,2.0,5487.0,452.0,17.0,9.0,3.0,3439.0
2874,OAK,AL,667500,837.0,692.0,113.0,167.0,27.0,5.0,11.0,51.0,33.0,19.0,105.0,155.0,0.0,8.0,14.0,3.0,6.0,0.0,0.0,278.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9165.0,914.0,30.0,25.0,8.0,1100.0
2875,PIT,NL,9075000,398.0,145.0,276.0,503.0,2.0,0.0,56.0,4.0,0.0,0.0,244.0,517.0,21.0,19.0,32.0,15.0,5.0,32.0,30.0,82.0,0.0,1537.0,239.0,1.826,29.92,19.0,1.0,2215.0,11.0,1539.0,34.0,47.0,4.0,3.0,1687.0
2876,TOR,AL,5700000,2140.0,2434.0,276.0,570.0,105.0,14.0,28.0,210.0,34.0,19.0,118.0,380.0,5.0,23.0,48.5,18.0,48.0,0.0,0.0,2.0,0.0,1.0,0.0,0.667,0.0,0.0,0.0,3.0,1.0,19356.0,1081.0,534.25,64.5,87.0,5565.0
2877,TEX,AL,993000,32.0,18.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.0,4.0,5.0,0.0,1.0,117.0
2878,NYA,AL,16200000,831.0,0.0,874.0,1854.0,0.0,0.0,173.0,0.0,0.0,0.0,606.0,1311.0,29.0,48.0,0.0,0.0,0.0,40.0,45.0,542.5,0.0,2387.5,370.0,2.39,50.68000000000001,40.0,2.5,3431.25,0.0,5667.0,139.0,245.0,13.0,12.0,4345.0
2879,ATL,NL,2070000,2340.0,2829.0,458.0,715.0,125.0,17.5,74.0,266.0,62.5,35.0,294.0,550.0,12.0,9.0,23.0,17.0,38.0,0.0,0.0,542.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23936.0,2443.75,81.0,44.0,18.0,3370.0
2880,LAN,NL,6600000,2178.0,72.0,460.0,1061.0,5.0,0.0,50.0,6.0,0.0,0.0,415.0,552.0,57.0,29.0,5.0,0.0,0.0,40.0,45.0,4.0,2.5,2387.5,370.0,3.59,46.50999999999999,37.0,2.5,3431.25,52.5,3166.0,118.0,253.0,24.0,23.0,4143.0
